Source,Date,Rating,Reviews,Price,,,
Fiverr,6 days ago,5,"I am absolutely delighted with the service provided by mamtaz01 on the creation of several sliders in React. From the start, mamtaz01 demonstrated great professionalism, taking the time to understand my specific needs and proposing effective solutions. Communication was smooth and responsive throughout the project, and mamtaz01 was always available to answer my questions and make any necessary changes. She demonstrated great patience and impressive attention to detail, which greatly contributed to the success of the project. I am fully satisfied with the final result, and I will not hesitate to call on mamtaz01 again for future projects in React. I highly recommend his services. Thank you.",80-350,,4 Stars,2
Fiverr,1 week ago,5,Mamtaz is a pro on what she does. The type of person everyone wants on their team. Her dedication is quality delivery and customer satisfaction is impressive.,80-350,,3 Stars,1
Fiverr,2 months ago,5,"Great work as usual, very happy to have Mamtaz and team working on my site. professional and highly skilled developers that are easy to communicate with. thank you for great work!",80-350,,Seller communication level,5
Fiverr,2 months ago,5,Quick design work! Smooth app. Needed some time to make the changes but good guys to make sure it’s working great.,80-350,,Recommend to a friend,5
Fiverr,6 days ago,5,"Great experience, Thank you",80-350,,Service as described,5
Fiverr,1 week ago,5,Very diligent seller who takes initiative to make sure they deliver what you are looking for. Recommended!,80-350,,,
Fiverr,2 weeks ago,5,Excellent work!! A pleasure to work with you!,80-350,,,
Fiverr,2 weeks ago,5,Fast and great work!,80-350,,,
Fiverr,2 weeks ago,5,Very professional!,80-350,,,
Fiverr,3 weeks ago,5,Excellent service and quality!!,80-350,,,
Fiverr,4 weeks ago,5,Great work and design.,80-350,,,
Fiverr,1 month ago,5,"Thank you very much for your great service, it was a pleasure to work with you!",80-350,,,
Fiverr,1 month ago,5,"Excellent developer. Created a responsive, modern, good looking page. Good communication.",80-350,,,
Fiverr,1 month ago,4,Easy to work with,80-350,,,
Fiverr,1 month ago,5,Very professional and available. Efficient and concise. Thank you.,80-350,,,
Fiverr,2 months ago,4.7,Delivered great work,80-350,,,
Fiverr,2 months ago,5,Great service as always,80-350,,,
Fiverr,2 months ago,5,"Really professional in both communication and creating the design elements, highly recommended",80-350,,,
Fiverr,2 months ago,5,Looking forward to our next project!,80-350,,,
Fiverr,2 months ago,5,best experience on fiverr,80-350,,,
Fiverr,3 months ago,5,"Have been placing more and more orders, bcs i know Mamtaz and her team will always deliver as expected and even more.",80-350,,,
Fiverr,3 months ago,5,"Mamtaz continues to delight with her approach to development and quality of the deliverables. Over time, she has become a virtual member of our dev team with almost daily interactions and continuous refinement. Very well done indeed. Thank you Mamtaz!",80-350,,,
Fiverr,3 months ago,5,communication was good.,80-350,,,
Fiverr,3 months ago,5,deliverred over expectation as usual,80-350,,,
Fiverr,3 months ago,5,Mamtaz did an exceptional job converting my Figma file to HTML/CSS. I am extremely satisfied with her work; she delivered on time and the final result exceeded my expectations. Highly recommended for her professionalism and expertise!,80,,,
Fiverr,3 months ago,5,Mamtaz's HTML5 conversion skills are truly commendable! She flawlessly transformed my Figma design into a fully functional and responsive website. Her attention to detail and timely delivery made the collaboration a pleasure. She is highly recommended for web development projects!,80,,,
Fiverr,3 months ago,5,"second order, over expectation, very well done, will continue",80-350,,,
Fiverr,3 months ago,5,"very professional, and fast delivery",80-350,,,
Fiverr,3 months ago,5,That's really amazing work from Mamtaz. She is a skilful web designer. Coding are very clean. She delivered exactly what I wanted. Highly recommended here service!,80-350,,,
Fiverr,3 months ago,5,Mamtaz and team were super efficient and enthusiastic the whole process. They were very open to feedback throughout and worked on our many changes requested along the way. They also gave their time to join our team calls. Will definitely be engaging them in our next project!,80-350,,,
Fiverr,3 months ago,5,"Great, she give me the same I request",80-350,,,
Fiverr,4 months ago,5,"Mamtaz is a skilled React developer but more importatnly, she makes a effort to understand the requirements in depth and is laser focused on customer satisfation. It is a pleasure working with her (that's my 5th project and I expect more to come)",80-350,,,
Fiverr,4 months ago,5,Working with Mamtaz is a pleasure for me. Her delivery is fast and of good quality.,80-350,,,
Fiverr,4 months ago,5,"Great work, fast and of good quality! With Mamtaz I feel I am in good hands.",80-350,,,
Fiverr,4 months ago,5,"Mamataz is a consumate react professional. On time, on budget, high quality deliverables. The best part: she takes the time to understand the requirements in details and remarkably comitted to customer satisfaction. We've worked with her multiple... See more",80-350,,,
Fiverr,4 months ago,5,"Good, and always willing to contact to discuss any issues not fully understood. She's always willing to help when required.",80-350,,,
Fiverr,5 months ago,5,"I have worked with Mamtaz on 4 React projects, some more complex than others, and she consistently delivered above expectations. Clean code, ahead of time, and with an unwavering dedication to customer satisfaction. She is very responsive to... See more",80-350,,,
Fiverr,5 months ago,5,"thanks , great eye for detail",80-350,,,
Fiverr,5 months ago,5,"Brilliant lady, understands very well and easy to work with... I see many more projects happening with Mamtaz - Thank you!",80-350,,,
Fiverr,5 months ago,5,"High quality delivery, on budget, and remarkably ahead of time. This was my third React UI project with Mamtaz and as always, it was a pleasure wotking with her. She's highly responsive to communications or various requests and comitted to customer satisfaction,",80-350,,,
Fiverr,5 months ago,5,Highly skilled React developer with remarkable comittment to quality delivery and customer satisfaction.,80-350,,,
Fiverr,5 months ago,5,"It was a pleasure working with Mamtaz and her team mate on a webapp React front-end. Very responsive and communicative, she made sure to understand the requirements in detail and was laser focused on quality delivery and customer satisfaction... See more",80-350,,,
Fiverr,5 months ago,5,It was a pleasure to work with this seller. He always answer all your questions fastly and he did a great job. I absolutely raccomend him.,80-350,,,
Fiverr,5 months ago,5,Great job. very clear and detail oriented. Highly recommended,80-350,,,
Fiverr,5 months ago,4.7,Great work again,80-350,,,
Fiverr,5 months ago,5,Mamtaz did another quality work and deliver within the time frame. She is really an experienced web developer. Highly recommended!,80-350,,,
Fiverr,5 months ago,5,Super help. Speed and responsibility are two words that perfectly describe the seller. I recommend it a lot.,80-350,,,
Fiverr,5 months ago,5,She always delivered in time with quality work! Highly recommended seller!!,80-350,,,
Fiverr,5 months ago,5,Another pixel perfect and responsive design by Mamtaz. She is very skillful and experienced web developer. Her coding is very clean. It is also easy to communicate with her and make her understand the order requirement. I will highly recommend her to all!,80-350,,,
Fiverr,6 months ago,5,Mamtaz is very skilled web developer. She is very cooperative and professional web developer. Her communication is excellent. Highly recommended her to those need any web design/development service!,80-350,,,
Fiverr,6 months ago,5,Excellent work and timely delivery. Very clean coding. Highly recommended,80-350,,,
Fiverr,6 months ago,5,She’s always the best hard working seller on FIVERR!! Highly recommended.,80-350,,,
Fiverr,6 months ago,5,awesome job thanks so much!,80-350,,,
Fiverr,6 months ago,5,"I recently hired Mamtaz for a React development project on Fiverr, and I was extremely impressed with her work. She was not only very skilled in React, but also very professional, responsive, and communicative throughout the project. She was... See more",80-350,,,
Fiverr,7 months ago,5,Great quality work,80-350,,,
Fiverr,7 months ago,5,Always delivered on promised timeline with quality customer service.,80-350,,,
Fiverr,7 months ago,5,This seller always delivers over expectations !!,80-350,,,
Fiverr,7 months ago,5,Thanks the work is awesome. Mamtaz and hassan are dedicated hard working web developers.,80-350,,,
Fiverr,7 months ago,5,This seller always deliver the best quality product thanks again!,80-350,,,
Fiverr,7 months ago,5,good work and also understands quickly price is also very good of course I recommend it in any case,80-350,,,
Fiverr,7 months ago,5,Very cooperative and skillful developer. Very easy to communicate with her.,80-350,,,
Fiverr,8 months ago,5,"I wanted to take a moment to acknowledge your hard work on the recent task you completed. Overall, I was impressed with the quality of your work and the attention to detail that you demonstrated throughout the project. also they ensureed me, they will resolve if I face any issue good work",80-350,,,
Fiverr,8 months ago,5,Mamtaz is very skillful and experienced developer. I will consider her for next order. Highly recommended!,80-350,,,
Fiverr,8 months ago,5,It's amazing task. Very efficient and fast deliver. Thumps up!,80-350,,,
Fiverr,8 months ago,5,Best talented seller on Fiverr!,80-350,,,
Fiverr,8 months ago,5,Very professional work ethics and delivered excellent services!,80-350,,,
Fiverr,9 months ago,5,"Great work from Mamtaz, she’s so responsible and collaborative. And extremely patient. Such a great experience! Thank you!!",80-350,,,
Fiverr,9 months ago,5,Mamtaz was very responsive and delivered the correct specs on time.,80-350,,,
Fiverr,9 months ago,5,I am very happy and satisfied with the delivery. Mamtaz is very cooperative and skillful developer. Communication is excellent. Highly recommended,80-350,,,
Fiverr,10 months ago,5,Thanks for patiente that would be good work I like it ! Thanks,80-350,,,
Fiverr,10 months ago,5,Great work. Thank you,80-350,,,
Fiverr,10 months ago,5,Mamtaz is wonderful developer with clean code. Thanks for the good work,80-350,,,
Fiverr,10 months ago,5,"mamtaz01 is very kind she know what is she doing ,my project is very nice and good by the help of her, thank you so much I am very satisfied all the results. If I have another project i will not look for anyone else. mamtaz01 is know everything about this type of project.",80-350,,,
Fiverr,10 months ago,5,Instant reply and understand requirements,80-350,,,
Fiverr,10 months ago,5,"Though the task was a bit complex, but she completed the task after hard work. She is really expert on laravel.",Oct-40,,,
Fiverr,10 months ago,5,Another successful delivery from Mamtaz. It's always pleasure to work with her. She is an amazing web designer/developer.,80-350,,,
Fiverr,11 months ago,5,"Another successful delivery from Mamtaz. I really like her commitment, and the quality of work. She is very knowledgeable and skillful web developer. The communication with her much easier, and she is always respectful with the deadline. Highly recommended. Will consider for my next project.",80-350,,,
Fiverr,11 months ago,5,"Another good work from Mamtaz. Very helpful, and cooperative.",Oct-40,,,
Fiverr,11 months ago,5,Another satisfactory delivery from Mamtaz. She is wonderful developer with very clean and perfect coding. She always try her best to complete the order in time. It is easy to communicate with her. Highly recommended for any development project. I will consider her for my future order.,80-350,,,
Fiverr,11 months ago,5,Mamtaz is very experienced and skillful developer. Her code is very clean and perfect. She is very knowledgeable and cooperative developer to work with. She tries her best to come to conclusion for any problems. I will consider for future worder. All the vest Mamtaz!,80-350,,,
Fiverr,11 months ago,5,Work is perfect thanks you my dear and see u soon,80-350,,,
Fiverr,11 months ago,5,Very professional and prompt responder.,80-350,,,
Fiverr,11 months ago,5,"Another Great job. Always fast and errorless job. Highly recommended, will give more projects. Thanks.",80-350,,,
Fiverr,11 months ago,5,Mamtaz is easy to work with. Her work is exceptional and she is very professional and kind! I highly recommend working with her :),Oct-40,,,
Fiverr,11 months ago,5,"Once again, good and speedy delivery. Thanks!",Oct-40,,,
Fiverr,11 months ago,5,Fast delivery. Thank you.,Oct-40,,,
Fiverr,11 months ago,5,It was great experience working with Mamtaz. She is very skillful with quality work. Completed the works even before the due date. She is very cooperative and easy to communicate with her. Highly recommended. Keep up the good work!,80-350,,,
Fiverr,11 months ago,5,"Great job, thank you",Oct-40,,,
Fiverr,12 months ago,3.7,It was not Useful for my needs.,Oct-40,,,
Fiverr,12 months ago,5,Superb Job,80-350,,,
Fiverr,12 months ago,5,"anyway, it finished, good work, many thanks.",80-350,,,
Fiverr,1 year ago,5,"Great job, thank you",80-350,,,
Fiverr,1 year ago,5,Great as always,80-350,,,
Fiverr,1 year ago,5,Amazing person with lot of patience and dedication. Love to work with mamtaz in upcoming projects,80-350,,,
Fiverr,1 year ago,5,"Great Job, thank you very much",80-350,,,
Fiverr,1 year ago,5,"Graet Job, thank you",80-350,,,
Fiverr,1 year ago,5,Really appreciate her work.,80-350,,,
Fiverr,1 year ago,5,Mamtaz01 continues to deliver excellent service and perfect code!,80-350,,,
Fiverr,1 year ago,5,Mamtaz01 was excellent to work with. She is an execllent developer and communicator. I will use her again!,80-350,,,
Fiverr,1 year ago,5,"Mamtaz is very responsible, communicative, and professional. She exceeded our expectations and we look forward to continued work with her. Her job is exactly what I wanted. Highly recommended! Professional with a lot of patience, helped me with the difficult issues. Great job!",80-350,,,
Fiverr,1 year ago,5,Mamtaz01 was excellent! I will work with her again! Her communication was perfect and her work was outstanding!,80-350,,,
Fiverr,1 year ago,5,Satisfactory work done by her. Very cooperative and professional. Loved working with her.,80-350,,,
Fiverr,1 year ago,5,Very efficient and quality work. Loved the work.,80-350,,,
Fiverr,1 year ago,5,"Great Experience working with this seller. Well Experienced, Good communication, follow up requirement. Highly recommended!",80-350,,,
Fiverr,1 year ago,5,It was a Really nice work with her and really supportive looking forward work with her. Highly recommended!,80-350,,,
Fiverr,1 year ago,5,Very well donr in quick time,Oct-40,,,
Fiverr,1 year ago,5,"Great Experience, very easy to work with Mamtaz!",80-350,,,
Fiverr,1 year ago,3,bien.. .....,80-350,,,
Fiverr,1 year ago,5,It was a nice working experience again with MRs Mamtaz. Hope we'll work again with a quality job,80-350,,,
Fiverr,1 year ago,5,Good Job and good luck. Thanks again.,Oct-40,,,
Fiverr,1 year ago,5,Good job! This lady is just superbly completed this project and errorless. Its just surprising for me. Highly Recommended and I will order again. Thank you so much.,80-350,,,
Fiverr,1 year ago,5,Amazing Service! Everything as per requirements and fast delivery. Highly Recommended. Will order again. Thank you.,80-350,,,
Fiverr,1 year ago,5,Fast coder. Really awesome. Thanks.,80-350,,,
Fiverr,1 year ago,5,Good job!. One of the bug in my Laravel project is solved and working properly. Thanks again.,Oct-40,,,
Fiverr,1 year ago,5,Well done. You are really awesome developer. Neat and clean coding. You have solved a very complex issue on my Laravel socket io project. Thanks a lot.,Oct-40,,,
PeoplePerHour,22-Dec-22,5,Another successful delivery from Mamtaz. She is such a wonderful and skillful web developer to work with. Very cooperative and helpful,15,,,
PeoplePerHour,13-Dec-22,5,Excellent work done by Mamtaz. She is very good developer with clean code. It was an wonderful experience. Highly recommended.,15,,,
PeoplePerHour,2-Dec-22,5,Very good experience and happy with the delivery by Mamtaz. She is very skillful with clean coding. Communication with her was excellent. She is very cooperative to deal with. Highly recommended,15,,,
PeoplePerHour,11-Nov-22,5,"Good experience working with her. Very skillful and, cooperative developer. Good communication. Always recommended. Keep up the good work. Thank you.",15,,,
